name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
CVX/USD,True,False,0.0025,0.1,0.1,4.855,4.855,4.8875,4.855,spot,,CVX,False,USD,,False,True,280.0,-0.01120162932790224,0.009880395215808632,-0.009183673469387756,5758.2945,5758.2945,4.965,4.7975,
DAI/USD,True,False,0.0001,0.1,0.1,0.9997,0.9997,0.9998,0.9997,spot,,DAI,False,USD,,False,True,280.0,-0.00010002000400080016,-0.00010002000400080016,-0.00020002000200020003,152327.90228,152327.90228,0.9999,0.9997,
DAI/USDT,True,False,0.0001,0.1,0.1,0.9985,0.9994,0.9995,0.9994,spot,,DAI,False,USDT,,False,True,196.0,-0.0006,-0.00010005002501250626,-0.00010005002501250626,19073.11193,19073.747636820626,1.0,0.9982,
DASH-PERP,True,False,0.025,0.01,0.01,41.1,41.1,41.125,41.1,future,perpetual,,False,,DASH,False,False,350.0,-0.010830324909747292,0.007352941176470588,-0.007246376811594203,451880.37175,451880.37175,41.85,40.7,
DAWN-PERP,True,False,0.0005,0.1,0.1,0.7505,0.7485,0.751,0.7505,future,perpetual,,False,,DAWN,False,False,350.0,-0.009894459102902375,0.01418918918918919,-0.0026578073089701,204167.6263,204167.6263,0.773,0.739,
DAWN/USD,True,False,0.0005,0.1,0.1,0.7515,0.7515,0.7545,0.7515,spot,,DAWN,False,USD,,False,True,280.0,-0.00922874093605801,0.018292682926829267,-0.006609385327164574,50535.4535,50535.4535,0.769,0.737,
DEFI-PERP,True,False,0.1,0.001,0.001,2613.5,2613.5,2614.7,2613.5,future,perpetual,,False,,DEFI,False,False,350.0,-0.011871904419826837,0.005346976457916603,-0.01998650067496625,1488952.1911,1488952.1911,2689.4,2589.1,
DEFI-0930,True,False,0.1,0.001,0.001,2626.4,2609.6,2632.2,2626.4,future,future,,False,,DEFI,False,False,350.0,-0.00800725185073274,0.00809887536943922,-0.02211631543674138,3095.8133,3095.8133,2687.5,2597.7,
DEFI-1230,True,False,0.1,0.001,0.001,2520.1,2507.1,2522.3,2520.1,future,future,,False,,DEFI,False,False,350.0,-0.014045383411580594,0.007032967032967033,-0.018996457627778428,21448.6407,21448.6407,2583.5,2495.8,
DENT-PERP,True,False,1e-06,100.0,100.0,0.000919,0.00092,0.000921,0.00092,future,perpetual,,False,,DENT,False,False,350.0,-0.00968783638320775,0.003271537622682661,-0.022316684378320937,1099993.8992,1099993.8992,0.000952,0.000912,
DENT/USD,True,False,1e-06,100.0,100.0,0.000918,0.000914,0.000918,0.000918,spot,,DENT,False,USD,,False,True,280.0,-0.009708737864077669,0.011013215859030838,-0.020277481323372464,27011.3633,27011.3633,0.000944,0.000905,
DFL/USD,True,False,5e-06,10.0,10.0,0.001355,0.001355,0.00136,0.001355,spot,,DFL,False,USD,,False,True,280.0,-0.003676470588235294,0.018796992481203006,0.007434944237918215,7106.7707,7106.7707,0.001395,0.00128,
DKNG-0930,True,False,0.005,0.01,0.01,15.5,15.66,15.8,15.66,future,future,,False,,DKNG,True,False,350.0,-0.0025477707006369425,0.017543859649122806,-0.009487666034155597,30.07,30.07,15.995,15.155,True
DKNG-1230,True,False,0.005,0.01,0.01,15.13,15.665,15.805,15.665,future,future,,False,,DKNG,True,False,350.0,-0.0044486812837623135,0.016877637130801686,-0.010423246999368288,0.0,0.0,16.005,15.13,True
